m_flat,sigma_rank,eta_rank,delta_rank,nuisance_rank,augmented_rank,quotient_gain,meets_nuisance_cap_7,meets_r22_target,full_quotient_target_holds,provenance
"(-1, -1, -1, -1, 1, 1, 1, 0, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, -1, 1, 1, 1, 0, 0)",6,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, -1, 1, 1, 1, 0, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, -1, 1, 1, 1, 1, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, -1, 1, 1, 1, 1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, -1, 1, 1, 1, 1, 1)",6,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, -1, -1, -1, -1)",6,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, -1, -1, -1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, -1, -1, -1, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, -1, -1, 0, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, -1, -1, 0, 0)",3,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, -1, -1, 0, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, -1, -1, 1, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, -1, -1, 1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, -1, -1, 1, 1)",6,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, -1, 0, -1, -1)",6,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, -1, 0, -1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, -1, 0, -1, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, -1, 0, 0, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, -1, 0, 0, 0)",6,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, -1, 0, 0, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, -1, 0, 1, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, -1, 0, 1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, -1, 0, 1, 1)",3,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, -1, 1, -1, -1)",6,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, -1, 1, -1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, -1, 1, -1, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, -1, 1, 0, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, -1, 1, 0, 0)",6,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, -1, 1, 0, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, -1, 1, 1, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, -1, 1, 1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, -1, 1, 1, 1)",6,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 0, -1, -1, -1)",6,9,14,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 0, -1, -1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 0, -1, -1, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 0, -1, 0, -1)",4,10,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 0, -1, 0, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 0, -1, 0, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 0, -1, 1, -1)",6,10,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 0, -1, 1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 0, -1, 1, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 0, 0, -1, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 0, 0, -1, 0)",6,10,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 0, 0, -1, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 0, 0, 0, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 0, 0, 0, 0)",6,9,14,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 0, 0, 0, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 0, 0, 1, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 0, 0, 1, 0)",4,10,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 0, 0, 1, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 0, 1, -1, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 0, 1, -1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 0, 1, -1, 1)",6,10,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 0, 1, 0, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 0, 1, 0, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 0, 1, 0, 1)",6,10,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 0, 1, 1, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 0, 1, 1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 0, 1, 1, 1)",6,9,14,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 1, -1, -1, -1)",6,9,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 1, -1, -1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 1, -1, -1, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 1, -1, 0, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 1, -1, 0, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 1, -1, 0, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 1, -1, 1, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 1, -1, 1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 1, -1, 1, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 1, 0, -1, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 1, 0, -1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 1, 0, -1, 1)",6,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 1, 0, 0, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 1, 0, 0, 0)",6,9,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 1, 0, 0, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 1, 0, 1, -1)",4,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 1, 0, 1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 1, 0, 1, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 1, 1, -1, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 1, 1, -1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 1, 1, -1, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 1, 1, 0, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 1, 1, 0, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 1, 1, 0, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 1, 1, 1, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 1, 1, 1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, -1, 1, 1, 1, 1)",6,9,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, -1, -1, -1, -1)",6,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, -1, -1, -1, 0)",4,10,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, -1, -1, -1, 1)",6,10,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, -1, -1, 0, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, -1, -1, 0, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, -1, -1, 0, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, -1, -1, 1, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, -1, -1, 1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, -1, -1, 1, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, -1, 0, -1, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, -1, 0, -1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, -1, 0, -1, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, -1, 0, 0, -1)",6,10,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, -1, 0, 0, 0)",6,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, -1, 0, 0, 1)",4,10,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, -1, 0, 1, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, -1, 0, 1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, -1, 0, 1, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, -1, 1, -1, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, -1, 1, -1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, -1, 1, -1, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, -1, 1, 0, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, -1, 1, 0, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, -1, 1, 0, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, -1, 1, 1, -1)",6,10,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, -1, 1, 1, 0)",6,10,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, -1, 1, 1, 1)",6,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 0, -1, -1, 0)",6,9,14,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 0, -1, -1, 1)",6,9,14,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 0, -1, 0, -1)",6,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 0, -1, 0, 0)",6,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 0, -1, 0, 1)",6,9,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 0, -1, 1, -1)",6,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 0, -1, 1, 0)",6,9,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 0, -1, 1, 1)",6,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 0, 0, -1, -1)",6,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 0, 0, -1, 0)",6,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 0, 0, -1, 1)",6,9,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 0, 0, 0, -1)",6,9,14,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 0, 0, 0, 1)",6,9,14,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 0, 0, 1, -1)",6,9,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 0, 0, 1, 0)",6,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 0, 0, 1, 1)",6,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 0, 1, -1, -1)",6,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 0, 1, -1, 0)",6,9,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 0, 1, -1, 1)",6,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 0, 1, 0, -1)",6,9,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 0, 1, 0, 0)",6,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 0, 1, 0, 1)",6,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 0, 1, 1, -1)",6,9,14,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 0, 1, 1, 0)",6,9,14,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 1, -1, -1, -1)",6,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 1, -1, -1, 0)",6,10,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 1, -1, -1, 1)",6,10,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 1, -1, 0, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 1, -1, 0, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 1, -1, 0, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 1, -1, 1, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 1, -1, 1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 1, -1, 1, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 1, 0, -1, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 1, 0, -1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 1, 0, -1, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 1, 0, 0, -1)",4,10,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 1, 0, 0, 0)",6,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 1, 0, 0, 1)",6,10,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 1, 0, 1, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 1, 0, 1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 1, 0, 1, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 1, 1, -1, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 1, 1, -1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 1, 1, -1, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 1, 1, 0, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 1, 1, 0, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 1, 1, 0, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 1, 1, 1, -1)",6,10,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 1, 1, 1, 0)",4,10,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 0, 1, 1, 1, 1)",6,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, -1, -1, -1, -1)",6,9,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, -1, -1, -1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, -1, -1, -1, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, -1, -1, 0, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, -1, -1, 0, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, -1, -1, 0, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, -1, -1, 1, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, -1, -1, 1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, -1, -1, 1, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, -1, 0, -1, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, -1, 0, -1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, -1, 0, -1, 1)",4,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, -1, 0, 0, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, -1, 0, 0, 0)",6,9,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, -1, 0, 0, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, -1, 0, 1, -1)",6,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, -1, 0, 1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, -1, 0, 1, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, -1, 1, -1, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, -1, 1, -1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, -1, 1, -1, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, -1, 1, 0, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, -1, 1, 0, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, -1, 1, 0, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, -1, 1, 1, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, -1, 1, 1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, -1, 1, 1, 1)",6,9,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 0, -1, -1, -1)",6,9,14,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 0, -1, -1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 0, -1, -1, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 0, -1, 0, -1)",6,10,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 0, -1, 0, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 0, -1, 0, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 0, -1, 1, -1)",6,10,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 0, -1, 1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 0, -1, 1, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 0, 0, -1, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 0, 0, -1, 0)",4,10,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 0, 0, -1, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 0, 0, 0, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 0, 0, 0, 0)",6,9,14,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 0, 0, 0, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 0, 0, 1, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 0, 0, 1, 0)",6,10,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 0, 0, 1, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 0, 1, -1, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 0, 1, -1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 0, 1, -1, 1)",6,10,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 0, 1, 0, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 0, 1, 0, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 0, 1, 0, 1)",4,10,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 0, 1, 1, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 0, 1, 1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 0, 1, 1, 1)",6,9,14,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 1, -1, -1, -1)",6,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 1, -1, -1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 1, -1, -1, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 1, -1, 0, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 1, -1, 0, 0)",6,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 1, -1, 0, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 1, -1, 1, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 1, -1, 1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 1, -1, 1, 1)",6,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 1, 0, -1, -1)",3,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 1, 0, -1, 0)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 1, 0, -1, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 1, 0, 0, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 1, 0, 0, 0)",6,9,15,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 1, 0, 0, 1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
"(-1, -1, -1, 0, 1, 1, 0, 1, -1)",7,10,16,16,16,0,False,False,False,EXACT_DERIVED
